이름,일본어명,위도,경도,구,주소,우편번호,요리,가격,타베로그점수,리뷰수,백명점,전화,예약링크,예약파트너,공식사이트,타베로그,구글지도,미쉐린,인스펙터코멘트
LAUBURU,ローブリュー,35.659959,139.716589,미나토구,"6-8-18 Minamiaoyama, Minato-ku",107-0062,프렌치,¥¥,3.68,251,,+81 3-3498-1314,,,,https://tabelog.com/tokyo/A1306/A130602/13002092/,https://www.google.com/maps/search/?api=1&query=LAUBURU&query_place_id=ChIJaTCJnmaLGGARZElQ0OxggIs,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/lauburu,"The number ‘64’ on the door refers to France’s 64th department: Pyrénées-Atlantiques, in the Basque Country. A devotee of pork culture, Shinichiro Sakurai is a lover of all things Basque, especially its pork cuisine. Having learned from charcuterie, Chef Sakurai places pork dishes front and centre: pâté and pig’s-head terrine as appetisers, boudin noir as a main dish. The Basque spirit lives and breathes in this back alley off Kotto-dori Street."
Les six,レ シス,35.651815,139.722428,미나토구,"2F, 5-15-25 Minamiazabu, Minato-ku",106-0047,프렌치,¥¥,3.28,25,,+81 3-6826-2764,,,https://lessix-hiroo-bistro.studio.site/,https://tabelog.com/tokyo/A1307/A130703/13297761/,https://www.google.com/maps/search/?api=1&query=Les%20six&query_place_id=ChIJrScIcMWLGGAR5Mvjzy9jA-g,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/les-six,"The chef mixes his own sensibilities into cuisine rooted in French bistro fare. The blackboard menu is a medley of authentic dishes and à la carte items made with seasonal ingredients. Generally, an appetiser and a main course is the perfect amount, but some items can be ordered as half portions, so ask your server."
Ma Cuisine,マ・キュイジーヌ,35.660937,139.7267,미나토구,"B1F, 1-2-14 Nishiazabu, Minato-ku",106-0031,프렌치,¥¥,3.65,151,,+81 3-6455-4426,https://omakaseje.com/r/cn185096?utm_source=michelinofficial&utm_medium=referral&utm_content=booking_btn,Omakase,,https://tabelog.com/tokyo/A1307/A130701/13241748/,https://www.google.com/maps/search/?api=1&query=Ma%20Cuisine&query_place_id=ChIJ3T6e3O2LGGARwHbHCg_w0Wk,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/ma-cuisine-1194175,"Ratatouille, cassoulet, beef cheek simmered in red wine: familiar regional fare covers the blackboard menu. Special attention is paid to Tokushima pork, which stars in numerous menu entries. Taking pride in the ingredients’ flavours, the chef shares a passion in common with the producers he relies on. A full range of pork cuisine is available, including cutlets and charcuterie. Ingredients are lightly salted to bring out their flavour, and portions are generous. The traditions of French food culture on full display."
Osobano Kouga,おそばの甲賀,35.660055,139.722767,미나토구,"2-14-5 Nishiazabu, Minato-ku",106-0031,소바,¥,3.72,1022,そば EAST 2025,+81 3-3797-6860,,,https://osobanokouga.com/,https://tabelog.com/tokyo/A1307/A130701/13047594/,https://www.google.com/maps/search/?api=1&query=Osobano%20Kouga&query_place_id=ChIJ_e1Wu3qLGGARF91CUEJsa8I,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/osobano-kouga,"Taste sake and snacks while dining on soba. Think of the culture of the soba shop, the beloved essence of Edo popular culture, plunked down near Nishi-Azabu Intersection for the modern generation to enjoy, and you have the atmosphere of Osobano Kouga. Evenings bring prix fixe presentations that encourage you to linger over cups of sake. Tensui, tempura soba with the soba removed, is an old-timey snack. Soba in season and appetisers of vegetable or fish of the day are a delight."
ROZZO SICILIA,ロッツォ シチリア,35.646974,139.731756,미나토구,"1-1-12 Shirokane, Minato-ku",108-0072,이탈리안,¥¥,3.69,423,,+81 3-5447-1955,,,,https://tabelog.com/tokyo/A1316/A131602/13131551/,https://www.google.com/maps/search/?api=1&query=ROZZO%20SICILIA&query_place_id=ChIJlQHTKgiLGGARI9j1F7MG3KM,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/rozzo-sicilia,"The largest island in the Mediterranean, Sicily has flourished for centuries as a hub of trade, so the cuisines of many lands have been passed down here. The unique local dishes that sprang up on this island captured the heart of ROZZO SICILIA’s chef. Authentic recipes are valued, including aubergine caponata, fennel and sardine pasta and seafood couscous. Lemon as an essential accompaniment is another traditional touch. The chef’s cherished goal is to craft flavours that remind Sicilians of home."
Soba Tajima,蕎麦 たじま,35.654728,139.726132,미나토구,"3-8-6 Nishiazabu, Minato-ku",106-0031,소바,¥,3.69,687,そば EAST 2025,+81 3-3445-6617,,,,https://tabelog.com/tokyo/A1307/A130703/13020154/,https://www.google.com/maps/search/?api=1&query=Soba%20Tajima&query_place_id=ChIJe9LNk3OLGGARnt5GANHRrDw,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/soba-tajima,"A soba shop well stocked with vegetable cuisine in season. From the varied and extensive menu, choose an assortment of small items as well as vegetable dishes, and cap the meal with the soba of your choice. The surfeit of options can be bewildering but of course you can order soba one plate at a time. If you arrive at lunchtime, set menus of rice dishes await you as well. Seasoned staff serve with practiced skill and grace, welcoming you like a local no matter when you visit."
Sushi Mikata,鮨 三か田,35.647756,139.741381,미나토구,"4-1-4 Mita, Minato-ku",108-0073,스시,¥¥,3.65,247,,+81 70-8340-4141,https://www.tablecheck.com/sushimikata/reserve/message?utm_source=michelin_guide,TableCheck,,https://tabelog.com/tokyo/A1314/A131402/13290333/,https://www.google.com/maps/search/?api=1&query=Sushi%20Mikata&query_place_id=ChIJzWVsxeaLGGARtZ__YKOv0Mw,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/sushi-mikata,"The origins of Sushi Mikata go back to a standup sushi bar the chef went to with his father when he was a boy. Aiming to be a place where people could drop in casually for sushi, he emulated this standup format. Guests can order in amounts as small as one piece at a time. Both fish and vinegared-rice portions are generous, to impart the delightful feeling of filling one’s mouth. The chef runs Sushi Mikata with his wife, whose rolled Japanese-style omelettes are a hit with customers. The good-humoured banter between husband and wife keeps the atmosphere light."
T'astous,タストゥー,35.649953,139.737004,미나토구,"2-5-21 Minamiazabu, Minato-ku",106-0047,프렌치,¥¥,3.53,192,,+81 3-6435-4722,,,https://tastous.jp/,https://tabelog.com/tokyo/A1307/A130702/13184805/,https://www.google.com/maps/search/?api=1&query=T'astous&query_place_id=ChIJ9Q4enqaLGGARHWN_L-lhDwQ,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/t-astous,"T’astous presents as a ‘neo-bistro’, the sort of chic bistro you might find in Paris. Regional cooking arranged for a modern sensibility. The chef trained in the south of France, so he excels with foie gras and truffles that are this region’s gift to the world. The restaurant name is the word for a black-truffle canapé in the Cahors dialect. He expresses through his cuisine the wonder he felt upon tasting this delicacy in southwestern France."
Tachigui Sushi Tonari,立喰 鮨となり,35.655547,139.734852,미나토구,"2F, 2-8-7 Azabujuban, Minato-ku",106-0045,스시,¥¥,3.69,448,,+81 3-6453-9950,,,,https://tabelog.com/tokyo/A1307/A130702/13267404/,https://www.google.com/maps/search/?api=1&query=Tachigui%20Sushi%20Tonari&query_place_id=ChIJNeF3ix6LGGARrGJhqkkngpo,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/tachigui-sushi-tonari,"Sushi Tonari means ‘sushi next door’, and indeed Tachigui Sushi Tonari is tucked away next to its flagship restaurant. The intimate space, quick turnover and experience of the youthful staff achieve a comfortable informality. Ordering is refreshingly casual, too: requesting one piece at a time is fine. The prevailing theme is ‘vinegar and sushi’. Rice seasoned with rice vinegar harmonises beautifully with the oil of the fish. Reservations, orders and billing are all managed on a digital system. Standing and eating, Edo’s street-stall dining culture, updated for the modern era."
Tempura Kakiage Yukimura,天ぷら かき揚げ 之村,35.661982,139.75356,미나토구,"6-13-13 Shimbashi, Minato-ku",105-0004,텐푸라,¥,3.56,906,,+81 3-6721-5343,,,,https://tabelog.com/tokyo/A1314/A131401/13226656/,https://www.google.com/maps/search/?api=1&query=Tempura%20Kakiage%20Yukimura&query_place_id=ChIJtxKb4qOLGGARjVoXGBN1G5k,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/tempura-kakiage-yukimura,"‘Cheerful, fun, exciting’ sums up the credo of the owner-chef. The convivial atmosphere and friendly service attracts customers of every generation. The menu reflects this positive attitude, with bowls of rice with toppings, teishoku set meals and à la carte items available at both lunch and dinner. The dish of fame is the kakiage-don, a bowl of rice loaded up with shrimp. The chef treasures the advice he learned as an apprentice: ‘Offer top-rate food at third-rate prices’. He’s always smiling, trading jokes with his guests."
Yoshoku Edoya,洋食 エドヤ,35.644408,139.725583,미나토구,"6-6-1 Shirokane, Minato-ku",108-0072,요쇼쿠,¥,3.66,111,,+81 3-6721-9885,,,,https://tabelog.com/tokyo/A1316/A131602/13285741/,https://www.google.com/maps/search/?api=1&query=Yoshoku%20Edoya&query_place_id=ChIJCbj__3iLGGARFIcyO5QZBK8,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/yoshoku-edoya,"Yoshoku Edoya traces its establishment to1954, when its founder, having studied Western cuisine, converted a Japanese confectionery shop into a restaurant – it still bears the name it had at its founding. The perennial favourite here is hamburger steak, served with a generous helping of demi-glace and topped with a fried egg. The skills with which the beef is kneaded and grilled to lock in juices are those of a master craftsman. Flavours of the good old days make perfect companions for rice. Yoshoku Edoya honors both its own culinary heritage and the traditions of Western-style Japanese cuisine.<p></p><p></p>"
Sushi Yoshino,鮨 与志乃,35.697528,139.679189,나카노구,"B1F, 2-30-2 Chuo, Nakano-ku",164-0011,스시,¥¥,3.44,152,,+81 3-3371-8426,,,https://www.s-susiyosino.com/,https://tabelog.com/tokyo/A1319/A131902/13163170/,https://www.google.com/maps/search/?api=1&query=Sushi%20Yoshino&query_place_id=ChIJv6lIOsXyGGARXyDMDEu2_rQ,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/sushi-yoshino,"The founder of Sushi Yoshino was once an apprentice at a well-known sushi restaurant in Tokyo’s Kyobashi district. When he became independent, he inherited the shop name, and now his heir and son have hung out their shingle together. Sushi toppings prepared in the old-school way are paired with sushi rice made with red vinegar. The shop captivates with the spirit of a true sushi restaurant. Lighting is used effectively in view of the basement location and the long counter of zelkova wood is a striking feature. Enjoy craftsmanship in both the sushi and the décor."
Teuchisoba Jiyusan,手打蕎麦 じゆうさん,35.729935,139.677122,나카노구,"3-1-4 Eharacho, Nakano-ku",165-0023,소바,¥¥,4.04,1146,そば EAST 2025,,,,https://jiyusan.tokyo/,https://tabelog.com/tokyo/A1321/A132101/13025978/,https://www.google.com/maps/search/?api=1&query=Teuchisoba%20Jiyusan&query_place_id=ChIJ_2IBmFvtGGARb3WhjtdAqvA,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/teuchisoba-jiyusan,"‘Jiyusan’ is a shop on Mejiro Street. The name is a play on the street’s old name, ‘Jusanken-dori’. Delicately thin seiro soba, made purely from buckwheat served on a wicker tray, offers a pleasing finish. Inaka soba is stone-ground by hand, one grain at a time using a pestle and mortar, and delivers a rich, deep flavour. Appetisers, patiently prepared using techniques the chef learned during his apprenticeship, set the tone—such as shrimp prepared in miso and grilled, or herring fillet simmered slowly over several days."
Sobakiri Suzuki,そばきり すゞ木,35.746817,139.572337,네리마구,"4-43-32 Minamioizumi, Nerima-ku",178-0064,소바,¥,3.63,195,,+81 3-5387-2010,,,,https://tabelog.com/tokyo/A1328/A132801/13017457/,https://www.google.com/maps/search/?api=1&query=Sobakiri%20Suzuki&query_place_id=ChIJ33gpFdfuGGARqfKvrVzcI08,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/sobakiri-suzuki,"Tucked away in a quiet residential neighbourhood, this soba shop welcomes guests only at lunchtime. The interior is done entirely in natural materials such as wood and stone, lending a homespun feel. Service is friendly and welcoming, placing the heart at ease. The menu consists solely of sobazen a set meal including fine soba noodles, appetisers, and soba-gaki. For those who prefer something sweet, the soba-gaki can be substituted with soba zenzai, a red bean soup made with the same buckwheat dough in dessert form. Quantities are limited so reservations are a must and can be made by phone from around 9:30 a.m. on the day."
Shinjiko Shijimi Chukasoba Kohaku,宍道湖しじみ中華蕎麦 琥珀,35.551272,139.711199,오타구,"2-1-3 Nishirokugo, Ota-ku",144-0056,라멘,¥,3.91,2040,ラーメン TOKYO 2025,+81 3-6690-0893,https://www.tablecheck.com/shops/ramenkohaku/reserve?utm_source=michelin_guide,TableCheck,,https://tabelog.com/tokyo/A1315/A131503/13234195/,https://www.google.com/maps/search/?api=1&query=Shinjiko%20Shijimi%20Chukasoba%20Kohaku&query_place_id=ChIJ2ZGVStFhGGAReHwSrXbcf80,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/shinjiko-shijimi-chukasoba-kohaku,"After taking over his mother’s restaurant, the owner-chef opened his doors in the town where he was born and raised. The key to the flavour lies in the shijimi clams from Lake Shinji in Shimane Prefecture, after which the restaurant is named. The soup utilizes the umami of the shellfish’s succinic acid. To enjoy the true taste of the broth, we recommend the salt-flavoured option. The names of the fishermen who caught each day's clams are written on the blackboard, showing respect for both ingredients and producers."
Tonkatsu Enraku,とんかつ 燕楽,35.57294,139.704233,오타구,"6-1-4 Ikegami, Ota-ku",146-0082,돈카츠,¥,3.74,1411,とんかつ 2026,+81 3-3754-8243,,,,https://tabelog.com/tokyo/A1317/A131714/13034183/,https://www.google.com/maps/search/?api=1&query=Tonkatsu%20Enraku&query_place_id=ChIJM2GOyRNgGGARi68aRiY1hsc,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/tonkatsu-enraku,"The veteran owner-chef has devoted his life to tonkatsu pork cutlets. As he fries pork loin and fillet, he concentrates on the changing colour of the coatings and the hiss of oil in the copper pot. Cabbage is chopped by hand as the pork sizzles. Deft, precise movements calculated with the final result in mind reassure guests. Craftsmanship learned the old-fashioned way, through patient repetition of the master’s lessons, reflects a stance of uncompromising commitment."
Washokuya Taichi,和食や 太いち,35.604993,139.685082,오타구,"3-36-14 Kitasenzoku, Ota-ku",145-0062,이자카야,¥¥,3.71,202,居酒屋 EAST 2025,+81 3-6425-9122,,,,https://tabelog.com/tokyo/A1317/A131711/13204861/,https://www.google.com/maps/search/?api=1&query=Washokuya%20Taichi&query_place_id=ChIJSZ-IdDH1GGAR7XDC7cVmng0,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/washokuya-taichi,"The generously portioned, inventive dishes reflect the chef’s desire to satisfy. The signature Taichi Salad is piled high with over 30 types of vegetable. Whether cut, grilled, steamed or fried, each dish is prepared to bring out the flavour of the ingredients. The seasonal specials listed on the blackboard are also inviting. In summer, fragrant roast corn with butter soy sauce is this restaurant’s speciality. Each season brings a reason to return."
BISTRO GLOUTON,ビストロ グルトン,35.648675,139.682312,세타가야구,"2-33-7 Ikejiri, Setagaya-ku",154-0001,프렌치,¥¥,3.52,49,,+81 3-3410-5517,https://omakaseje.com/r/fl790171?utm_source=michelinofficial&utm_medium=referral&utm_content=booking_btn,Omakase,,https://tabelog.com/tokyo/A1317/A131705/13173920/,https://www.google.com/maps/search/?api=1&query=BISTRO%20GLOUTON&query_place_id=ChIJj7XZwKj0GGARSpdLQDVQSl4,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/bistro-glouton,"From down a back alley in Ikejiri, light beckons from a counter bistro. Draw closer and a crowded blackboard lists such a range of items, from French regional cuisine to Western-influenced dishes like hamburger steaks and croquettes, that you’ll hardly be able to choose. The menu doesn’t change, to keep quality consistent and high. ‘Glouton’ refers to someone who enjoys their food whole-heartedly. Every item here will tickle your fancy, and once you’ve sampled the food here, you’ll want to return."
DIALOGUE,ディアログ,35.664959,139.669812,세타가야구,"3-23-21 Kitazawa, Setagaya-ku",155-0031,프렌치,¥¥,3.51,136,,+81 3-6804-8820,https://omakaseje.com/restaurants/uk375194?utm_source=michelinofficial&utm_medium=referral&utm_content=booking_btn,Omakase,https://dialoguefrench.wixsite.com/home,https://tabelog.com/tokyo/A1318/A131802/13156558/,https://www.google.com/maps/search/?api=1&query=DIALOGUE&query_place_id=ChIJ4ZuauWrzGGARhl7VPpHpMiI,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/dialogue-1200268,"Since the days of their apprenticeship, the chef and sommelier have encouraged each other through friendly rivalry. Their decision to locate DIALOGUE in a residential area stems from their desire to become a familiar face to the region. Lunches are prix fixe; dinners, à la carte. Much-loved French standards populate the menu. True to its name, the restaurant offers a sprawling menu in hopes that the choices available will stimulate conversation. The fun of choosing and the joy of tasting bring hearts together."
Gigio,ジージョ,35.644595,139.654755,세타가야구,"4-24-19 Wakabayashi, Setagaya-ku",154-0023,이탈리안,¥¥,3.55,135,,+81 3-6805-4949,,,,https://tabelog.com/tokyo/A1317/A131709/13298862/,https://www.google.com/maps/search/?api=1&query=Gigio&query_place_id=ChIJqavtGgDzGGAROl6oXp6OOzs,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/gigio,"A trattoria where à la carte dining is encouraged with a comprehensive menu of regional cuisines. Pici served with tomato ragú laden with garlic and vegetable sformato are all flavours learned in the Italian countryside. A marble bar counter and Tuscan-style stone walls create a stylish space inspired by interiors in Tuscany. Steps from Shoin Shrine, this is Italian food culture with deep roots in daily life."
LANBRoA,ランブロア,35.628673,139.636268,세타가야구,"3-11-15 Yoga, Setagaya-ku",158-0097,스페인,¥¥,3.5,80,,+81 3-6432-7017,,,,https://tabelog.com/tokyo/A1317/A131707/13203050/,https://www.google.com/maps/search/?api=1&query=LANBRoA&query_place_id=ChIJK6v_N3H0GGAR9nrPuuxVbzo,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/lanbroa,"The menu lists dishes from every corner of Spain, every one a precious memory of the chef. The preponderance of Basque dishes reflects her attendance of a cooking school in San Sebastián and apprenticeship at a restaurant there. We start with pintxo (pinchos), an apt choice for the Spanish pub atmosphere. Piquillo pepper stuffed with dried and salted cod, squid simmered in its ink and other Basque-country favourites are faithfully reproduced here. Experience the food culture of Spain."
Lien,リアン,35.651263,139.681147,세타가야구,"3-5-22 Ikejiri, Setagaya-ku",154-0001,프렌치,¥¥,3.3,66,,+81 3-6413-8552,https://www.tablecheck.com/shops/lien-french/reserve?utm_source=michelin_guide,TableCheck,https://lienfrench.com/,https://tabelog.com/tokyo/A1327/A132701/13161454/,https://www.google.com/maps/search/?api=1&query=Lien&query_place_id=ChIJAQCUCKj0GGAR4nsOKtr35Iw,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/lien,"‘Lien’ is French for ‘connection’. The chef, a native of Aomori Prefecture, uses both ingredients and crockery from that region of northern Honshu. Serving salmon from the Tsugaru Strait and Aomori Shamorock chicken on Tsugaru Kanayama Yaki pottery, the chef connects guests with producers through his cuisine. The comprehensive prix fixe menu is imbued with this sense of human connection. ‘Lien’ may mean a feeling of connection, but it also means a bond."
Seki Hanare,セキ ハナレ,35.6428,139.649926,세타가야구,"3-1-3 Setagaya, Setagaya-ku",154-0017,일식,¥¥,3.61,98,,+81 3-5450-5870,,,,https://tabelog.com/tokyo/A1317/A131709/13165043/,https://www.google.com/maps/search/?api=1&query=Seki%20Hanare&query_place_id=ChIJF1sqOo_0GGARVCVe2rW0NPU,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/seki-hanare,"Creative dining focused on affinity with sake. Appetisers are served as a combination platter, the better to keep the libations flowing. Tsukuri feature ingenious arrangements of condiments. Uniquely, meat dishes are an indispensable part. Each dish is generous, making every morsel an unforgettable memory. The collection of sake and shochu, amassed on visits to breweries, is impressive; as the shop specialises in local tipples, the wine and whisky selection is also strictly Japanese."
Tohakuan Karibe,東白庵 かりべ,35.663492,139.602984,세타가야구,"4-23-19 Kasuya, Setagaya-ku",157-0063,소바,¥,3.68,208,,+81 3-6879-8998,,,,https://tabelog.com/tokyo/A1318/A131809/13240194/,https://www.google.com/maps/search/?api=1&query=Tohakuan%20Karibe&query_place_id=ChIJFSnKrFuMGGARlD7yJx7or9w,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/tohakuan-karibe,"With the temperament of an artist, the chef places everything in its proper proportion. Gathering unpolished buckwheat from Nagano and Niigata, he grinds the two together, checking moisture by hand to produce nihachi and juwari noodles. Soba and broth are served in harmony: as seiro, accompanied by soup redolent of katsuobushi, or as kake, steeped in hot katsuobushi broth. Side dishes are soba-shop favourites, such as Pacific herring simmered for days or seafood and buckwheat flour wrapped in nori and deep-fried."
ZUPPERIA OSTERIA PITIGLIANO,ズッペリア・オステリア・ピティリアーノ,35.643044,139.606484,세타가야구,"2F, 3-4-9 Soshigaya, Setagaya-ku",157-0072,이탈리안,¥¥,3.67,241,,+81 3-3789-0017,,,https://www.zo-pitigliano.com/,https://tabelog.com/tokyo/A1318/A131814/13177165/,https://www.google.com/maps/search/?api=1&query=ZUPPERIA%20OSTERIA%20PITIGLIANO&query_place_id=ChIJD6SoBWHxGGARxwxRahOPTlc,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/zupperia-osteria-pitigliano,"Pitigliano is a town the chef visited in his apprenticeship and has fond memories of. During his time in Italy, the chef was deeply impressed by the custom of ‘zuppa’, or dipping pieces of bread into soups of vegetables and beans, so the menu offers an extensive selection of soups. Honest flavours and presentations mirror the food culture of the Italian countryside, featuring simple handmade pasta and char-grilled fish and meat. Scenes of diners sharing from a single plate are a reflection of daily life in Italy."
Arrocería Sal y Amor,アロセリア サル イ アモール,35.65085,139.703514,시부야구,"B1F, 12-19 Daikanyamacho, Shibuya-ku",150-0034,스페인,¥¥,3.71,962,スペイン料理 2026,+81 3-5428-6488,https://www.tablecheck.com/shops/salyamor/reserve?utm_source=michelin_guide,TableCheck,https://www.vandk.jp/restaurant/arroceriasalyamor/,https://tabelog.com/tokyo/A1303/A130303/13151425/,https://www.google.com/maps/search/?api=1&query=Arrocer%C3%ADa%20Sal%20y%20Amor&query_place_id=ChIJnQnzI0WLGGARjy7bLpkSd18,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/arroceria-sal-y-amor,"Folk songs play in the background of the exotic interior as dishes are ordered in Spanish all around you. An arroceron is a restaurant specialising in rice dishes. In addition to the familiar ‘paella’, here you’ll find ‘meloso’, a dish similar to risotto; ‘caldoso’, a dish of rice in broth; and a great variety of other offerings. Rice, the must-have ingredient for every dish, is a carefully selected, Japan-grown brand. Foods of Japan and Spain, brought together by rice."
BRAMASOLE,ブラマソーレ,35.670999,139.713757,시부야구,"3-42-5 Jingumae, Shibuya-ku",150-0001,이탈리안,¥¥,3.2,23,,+81 3-6434-0615,,,https://www.instagram.com/bramasole_insta,https://tabelog.com/saitama/A1106/A110601/11003168/,https://www.google.com/maps/search/?api=1&query=BRAMASOLE&query_place_id=ChIJk7XbU9CNGGAR7YgAHLCwIvc,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/bramasole,"The chef honed his craft in multiple regions of Italy and the menu reflects this. Oven-baked aubergine and tomato, for example, was learned in Sicily in the south, while pasta in beef and pork ragù was acquired from Emilia-Romagna in the north. The menu is mainly à la carte, so that guests can sample his creations freely. Diners can choose long or short pasta according to preference."
Cristiano's,クリスチアノ,35.668592,139.689062,시부야구,1-51-10 Tomigaya Shibuya-ku,151-0063,포르투갈,¥¥,3.62,593,,+81 3-5790-0909,,,,https://tabelog.com/tokyo/A1318/A131810/13120409/,https://www.google.com/maps/search/?api=1&query=Cristiano's&query_place_id=ChIJlVilg0zzGGAR21fsRKK_IR4,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/cristiano-s,"Japan and Portugal built a friendship during the Nanban trading era that has never faltered. The two countries share a culinary culture of fish and rice and a love of local cooking enjoyed at the family table. Items served include tempura octopus, char-grilled sardines, takikomi-gohan and gruel-like risotto. There’s also an extensive menu of à la carte options. Like the Portuguese wine, this fare is meant to be shared."
falò,ファロ,35.650023,139.704283,시부야구,"B1F, 14-10 Daikanyamacho, Shibuya-ku",150-0034,이탈리안,¥¥,3.02,2,,+81 3-6455-0206,https://omakaseje.com/restaurants/ze113891?utm_source=michelinofficial&utm_medium=referral&utm_content=booking_btn,Omakase,,https://tabelog.com/hokkaido/A0112/A011201/1083998/,https://www.google.com/maps/search/?api=1&query=fal%C3%B2&query_place_id=ChIJVVUI_ESLGGARVcB9OFOUd64,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/falo,"The counter kitchen arrayed around a hearth suggests an open-air bonfire. The eyes are riveted to the chef as he grills the meat, throwing charcoal on the fire. The use of grilling close to the flame, grilling over an open hearth and directly placing ingredients on the charcoal, brings the ingredients and brightly burning charcoal into a tight embrace. Porchetta, patiently cooked for over an hour, is a popular item. Straw-grilled fish and foil-grilled vegetables whet curiosity and appetite. The chef works with practiced ease, laser-focused on the foodstuffs."
Hibino Chukashokudo,日々の中華食堂,35.669108,139.680787,시부야구,"1-33-11 Uehara, Shibuya-ku",151-0064,중식,¥¥,3.65,661,中国料理 TOKYO 2026,+81 3-5790-9655,https://www.tablecheck.com/shops/hibino-chuuka/reserve?utm_source=michelin_guide,TableCheck,https://hibino-chuuka.com/,https://tabelog.com/tokyo/A1318/A131811/13260943/,https://www.google.com/maps/search/?api=1&query=Hibino%20Chukashokudo&query_place_id=ChIJ9bLDQm_zGGARx0pu8xctmlI,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/hibino-chukashokudo,"Inside a modern space enveloped in the warmth of wood, the concept is togetherness, complementing daily life in Yoyogi Uehara. Based on Sichuan and Cantonese cuisines, the restaurant offers set meals like mapo tofu and boiled chicken during the day, and an à la carte menu in the evening. Like side dishes at home, the small dishes allow you to sample a variety of flavours. The whole crispy chicken is perfect for sharing. Friendly service makes for a pleasant experience."
IL BALLOND'ORO,イル バロンドーロ,35.646608,139.715464,시부야구,"1-24-10 Ebisu, Shibuya-ku",150-0013,이탈리안,¥¥,3.72,425,,+81 3-5422-8977,,,,https://tabelog.com/tokyo/A1303/A130302/13229964/,https://www.google.com/maps/search/?api=1&query=IL%20BALLOND'ORO&query_place_id=ChIJkeqk6T2LGGARg_HPrA-iekU,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/il-ballond-oro,The walls are adorned with commemorative photographs and uniforms of Italian football players. The trattoria is named after the Ballon d'Or award presented to the top football players. The chef’s “Golden Risotto” glistens with the colour of saffron and is a testament to his past dreams of becoming a pro footballer. The menu is full of traditional dishes picked up from his travels throughout Italy from north to south.
jeeten,ジーテン,35.670403,139.68257,시부야구,"3-2-3 Nishihara, Shibuya-ku",151-0066,중식,¥¥,3.58,173,,+81 3-3469-9333,,,,https://tabelog.com/tokyo/A1318/A131811/13001849/,https://www.google.com/maps/search/?api=1&query=jeeten&query_place_id=ChIJA0X2I0jzGGAR9R9emkdGXUs,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/jeeten,"The billboard says ‘Chinese home cooking, Yoshida style’ and refers to nourishing Chinese food, based on yakuzen (medicinal food). Having experienced the healing power of Chinese cuisine, the owner-chef strives to devise dishes that restore bodily vigour. Helpful comments on the menu detail the effects of each, such as how mapo tofu stimulates the appetite, or sweet and sour pork with black vinegar relieves fatigue. The Beatles and other classics play in the background, making everyone feel at home."
Katsuo Shokudo,かつお食堂,35.654087,139.702122,시부야구,"B1F, 7-12 Uguisudanicho, Shibuya-ku",150-0032,일식,¥,3.68,1005,食堂 2026,+81 3-6877-5324,,,https://www.katsuoshokudo.jp,https://tabelog.com/tokyo/A1303/A130301/13237611/,https://www.google.com/maps/search/?api=1&query=Katsuo%20Shokudo&query_place_id=ChIJ5VahuViLGGARdhxzaSEMQ6w,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/katsuo-shokudo,"The eye is drawn to the shaver placed at the centre of the counter. The chef first encountered katsuobushi through the deliciousness of miso soup prepared by her grandmother. Overlaying her own image with that of her grandmother, she gently encloses the katsuobushi in both hands and shaves it with affection. Bonito is the star of the set menu: a main dish of grilled bonito, shaved bonito on rice, and miso soup made with bonito broth. The chef spreads the wonders of Japanese food culture while sharing the tales behind katsuobushi."
